prompt,completion,
鮮魚塊、薑絲、枸杞、蔥花,"薑絲鮮魚湯
 食材：鮮魚塊，薑絲，枸杞，蔥花
 調味料：鹽，雞粉，米酒，胡椒粉，香油
 作法：1.取一湯鍋，加入800㏄的水煮滾後放入鮮魚塊、薑絲、枸杞，煮至再度滾沸後轉小火，續煮約10分鐘。2.於作法1的鍋中加入所有調味料拌勻，起鍋前撒上蔥花即可。",
鱸魚,"乾煎鱸魚
 食材：鱸魚
 調味料：鹽，胡椒粉，酒
 作法：1.鱸魚洗淨去除內臟、魚鰭，魚肚內膜割開清洗血塊後對剖，加上調味料略醃20分鐘。2.煎鱸魚時，將鱸魚再清洗一遍，以紙巾擦乾。3.炒鍋先潤鍋再放入3大匙沙拉油，以中火油溫140℃煎至魚的兩面呈金黃至熟即可。",
鮮蚵、吻仔魚、翡翠、蒜末、薑末、高湯、地瓜粉、太白粉水,"鮮蚵吻仔魚羹
 食材：鮮蚵，吻仔魚，翡翠，蒜末，薑末，高湯，地瓜粉，太白粉水
 調味料：鹽，雞粉，糖，烏醋，胡椒粉，香油
 作法：1.鮮蚵洗淨瀝乾水份後，再沾裹上地瓜粉放入滾水中汆燙至熟撈出備用。2.熱一鍋倒入2大匙油量後，放入蒜末、薑末爆香，再倒入高湯煮滾，繼續放入作法1的鮮蚵、吻仔魚、翡翠、鹽、雞粉一起煮滾。3.繼續放入太白粉水於作法2的鍋中芶芡後，最後再加入烏醋、胡椒粉、香油調味即可。",
白米、蕃茄、洋蔥、紅蘿蔔、鮪魚罐頭、水、蔥花,"蕃茄鮪魚飯
 食材：白米，蕃茄，洋蔥，紅蘿蔔，鮪魚罐頭，水，蔥花
 調味料：鹽
 作法：1.蕃茄放入滾沸的水中汆燙，去皮後切丁備用。2.紅蘿蔔、洋蔥洗淨去皮切丁；罐裝鮪魚剝碎（罐頭內湯汁保留）。3.白米洗淨瀝乾水份，放入電子鍋中加入水和鹽，舖上作法1蕃茄丁、作法2紅蘿蔔丁、洋蔥丁以及鮪魚碎，按下煮飯鍵煮至熟。4.待作法3煮熟後打開電子鍋拌勻，撒上少許蔥花即可。",
吳郭魚、蒜頭、辣椒、薑,"蒜泥蒸魚
 食材：吳郭魚，蒜頭，辣椒，薑
 調味料：醬油，酒，糖，鹽，香油，水
 作法：1.蒜頭剝膜洗淨切末；薑洗淨切末；辣椒洗淨去籽切末備用。2.清除魚的魚鱗、魚鰓、內臟，魚背部劃箭頭狀，過水汆燙後再清洗一次，擺盤備用。3.炒鍋中加1大匙沙拉油，以中火燒熱至120℃油溫，將作法１的材料放入炒熟後，加入所有調味料煮開，淋在作法2的魚上，覆蓋保鮮膜，入蒸籠以大火蒸15分鐘即可。",
虱目魚肚、薑片、蒜末、九層塔、水、鹽、糖、雞粉、米酒、醬油、豆豉、醬鳳梨、白豆醬,"滷虱目魚肚
食材：虱目魚肚、薑片、蒜末、九層塔
調味料：水、鹽、糖、雞粉、米酒、醬油、豆豉、醬鳳梨、白豆醬
作法：1.九層塔洗淨鋪在盤底；虱目魚肚洗淨擦乾，備用。2.所有的滷汁和薑片、蒜末混合後以大火煮沸。3.將作法2改小火，在放入作法1的虱目魚肚燒至魚肚軟嫩後，撈出放於作法1的九層塔上即可。",
小魚干,"蜜汁小魚干
 食材：小魚干
 調味料：醬油，味醂，米酒，白砂糖，水，麥芽糖
 作法：1.小魚干洗淨入滾水中汆燙後撈起瀝乾。2.將所有調味料煮開，放入作法1的小魚干，待湯汁再度煮開後，再轉小火煮至湯汁收乾呈濃稠狀即可。",
甜不辣片,"炸甜不辣
 食材：甜不辣片
 調味料：胡椒鹽
 作法：1.甜不辣片洗淨切條備用。2.將作法1放入180℃的油鍋中火炸約3分鐘，見甜不辣外觀膨脹酥脆時撈起瀝油，並趁熱撒上胡椒鹽即可。",
油魚,"味噌魚
 食材：油魚
 調味料：薑泥，細味噌，米酒，醬油，甘草粉，細砂糖
 作法：1.取一容器，加入所有調味料一起拌勻成醃醬。2.油魚洗淨後用紙巾將魚身擦乾。3.將作法2的魚身均勻塗抹上作法1的味噌醬，置冷藏櫃醃最少1天。4.將作法3的味噌魚取出，抹掉表面多餘的味噌後，平鋪於燒烤盤上，放入微波爐中。5.將微波爐調整按鍵至＜薄塊燒烤＞鍵選擇﹝單面﹞功能，時間設定12分鐘，將作法3的味噌魚放入微波爐中，重量設定為200公克後，按下＜開始＞即可。",
甜不辣、洋蔥、韭菜、蒜末,"糖醋甜不辣炒韭菜
 食材：甜不辣，洋蔥，韭菜，蒜末
 調味料：蕃茄醬，糖，鹽，糯米醋
 作法：1.洋蔥切絲；韭菜洗淨切段，備用。 2.取鍋燒熱後倒入2大匙油，放入蒜末爆香，加入作法1的洋蔥絲炒香，續放入蕃茄醬炒香，再放入甜不辣、剩餘調味料及少許水拌炒均勻，最後加入作法1的韭菜段拌炒入味即可。",
鱸魚、薑末、蒜末、辣椒末、洋蔥絲、薑片、檸檬片、香菜末,"檸檬魚
 食材：鱸魚，薑末，蒜末，辣椒末，洋蔥絲，薑片，檸檬片，香菜末
 調味料：A.米酒，鹽，B.魚露，糖，檸檬汁
 作法：1.鱸魚洗淨、瀝乾水分，在表面淋上米酒、抹上鹽，備用。2.取所有調味料B加入薑末、蒜末與辣椒末拌勻，備用。3.取一蒸盤，在盤底放上洋蔥絲與薑片，接著放上作法1的鱸魚，淋上作法2的醬汁，放入蒸鍋中以大火蒸約15分鐘至熟，取出後放上檸檬片與香菜末即可。",
鱸魚、山藥、薑絲、水、枸杞,"山藥枸杞鱸魚湯
 食材：鱸魚，山藥，薑絲，水，枸杞
 調味料：鹽，米酒
 作法：1.鱸魚切塊後洗淨；山藥去皮切小塊，備用。2.將所有材料、米酒放入電鍋中，外鍋加半杯水，蓋上鍋蓋，按下開關，待開關跳起，加入鹽調味即可。",
鮪魚罐頭、大紅蕃茄、洋蔥碎、酸豆,"蕃茄鮪魚沙拉
 食材：鮪魚罐頭，大紅蕃茄，洋蔥碎，酸豆
 調味料：香草美乃滋
 作法：1.鮪魚罐頭瀝去油份，將鮪魚放入碗中。2.將洋蔥碎、酸豆、香草美乃滋加入作法1的鮪魚中拌勻備用。3.大紅蕃茄洗淨，去蒂將籽挖去，將作法2的鮪魚填入大紅蕃茄中。4.將作法3的大紅蕃茄放入烤箱中，以180℃烤約3分鐘即可。",
吳郭魚、青椒、胡蘿蔔、洋蔥,"糖醋魚
 食材：吳郭魚，青椒，胡蘿蔔，洋蔥
 調味料：A.雞粉，鹽，米酒，B.白醋，蕃茄醬，糖，水，C.太白粉，太白粉水，香油
 作法：1.吳郭魚洗淨，魚身二面各斜切4刀(不切斷)，以調味料A均勻塗抹魚身醃2分鐘至入味備用。2.青椒、胡蘿蔔及洋蔥分別切絲備用。3.將作法1.的魚身均勻沾裹調味料C.中的太白粉(連切口也要沾裹均勻)。４.熱鍋，加入600㏄沙拉油燒熱約至180℃時，放入作法2中的魚以中火炸約5分鐘至熟即可撈起瀝油。５.另熱一鍋，加入15㏄沙拉油，以中火略炒青椒絲、胡蘿蔔絲及洋蔥絲後，加入調味料B煮至沸騰，再用調味料C的太白粉水勾芡，最後灑上香油拌勻，淋至作法3油炸完成的魚身上即可。",
義大利綜合香料、薑黃粉、鹽、巴西里、洋蔥丁、草蝦、魚片、蛤蜊、長米、白酒、魚高湯,"西班牙海鮮燉飯
食材：義大利綜合香料、薑黃粉、鹽、巴西里、洋蔥丁、草蝦、魚片、蛤蜊、長米、白酒、魚高湯
作法：1.洋蔥丁入鍋炒勻，再將蛤蜊放入一併拌炒，小火炒到出水。2.將長米放入鍋中拌炒，加入少許義大利綜合香料與白酒。3.加入魚片、草蝦一併放入鍋中，翻炒均勻再加入薑黃粉。4.加入適量的魚高湯拌勻之後小火收乾，到米全熟即可。5.蛤蜊放回鍋中，再加入鹽調味，並加入巴西里增加香味，即可起鍋裝盤。",
新鮮丁香魚、蔥、蒜、辣椒、香菜,"炒丁香魚
 食材：新鮮丁香魚，蔥，蒜，辣椒，香菜
 調味料：A.太白粉，B.鹽，味精
 作法：1.丁香魚洗淨瀝乾；蔥、香菜切小段；蒜及辣椒切碎。2.熱一鍋油至180℃，將丁香魚裹上太白粉，放入油鍋以大火炸約2分鐘，至表面酥脆後，撈起瀝油備用。3.洗淨鍋子，重新熱鍋，加入少許油，大火略爆香作法1的蔥段、蒜碎、辣椒碎及香菜後，倒入作法2的丁香魚，再均勻撒入鹽及味精，以大火快速拌炒至勻即可。",
鯊魚、蒜苗、西芹、辣椒、蒜末、嫩薑、水,"蒜苗炒鯊魚
 食材：鯊魚，蒜苗，西芹，辣椒，蒜末，嫩薑，水
 調味料：鹽，雞粉，細糖，烏醋，醬油，米酒，油
 作法：1.鯊魚洗淨、切片備用。2.蒜苗、辣椒切片，將蒜白、蒜尾分開；西芹切段；嫩薑切絲，備用。3.熱一鍋，放入油、蒜末、作法2的辣椒片、蒜白、薑絲爆香，再放入作法1的鯊魚片炒數下。4.再加入作法2的西芹段、蒜尾、水及其餘的調味料拌炒入味即可。",
枸杞、當歸、川牛膝、黃芪、人蔘片、甘草、料理米酒、水、鰻魚、生薑,"藥燉鰻魚
 食材：枸杞，當歸，川牛膝，黃芪，人蔘片，甘草，料理米酒，水，鰻魚，生薑
 調味料：鹽
 作法：1.生薑切小片，枸杞洗淨泡軟瀝乾，備用。2.先將鰻魚裝在一個大的白色塑膠袋中(或是直接使用買回來鰻魚裝的塑膠袋)，在袋中加入水並重複沖洗2次(可先在袋尾剪一個小洞，水由袋口灌入，袋尾的小洞流出，當水完全流完時即為完成沖洗的動作，過程中請維持鰻魚一直在袋中)，沖洗完畢後，用橡皮筋將袋尾的小洞綁緊，將半瓶的米酒倒入並綁緊袋口，放置5分鐘直到鰻魚有發醉不動的效果(翻白肚的象徵)，表示鰻魚灌醉的動作已完成。3.取一砂鍋，放入步驟2的鰻魚和米酒，加入步驟1的枸杞和其他所有的藥材，再加入步驟1的薑片、水及剩餘的半瓶米酒，用砂鍋蓋或是保鮮膜密封，放入蒸籠用大火蒸約40分鐘熄火取出，最後加入鹽調味即可。",
白菜、魚翅、魚皮、乾冬菇、豬肉絲、沙拉筍、金針菇、魚板、蒜末、蔥段、高湯、太白粉水,"白菜魚翅羹
 食材：白菜，魚翅，魚皮，乾冬菇，豬肉絲，沙拉筍，金針菇，魚板，蒜末，蔥段，高湯，太白粉水
 調味料：A.鹽，柴魚粉，細砂糖，蠔油，米酒，B.白胡椒粉，烏醋，香油
 醃料：醬油，米酒，太白粉
 作法：1.白菜洗淨、切絲；沙拉筍切絲；乾冬菇泡軟、切絲；金針菇去頭、洗淨，備用。2.魚翅泡軟；魚皮洗淨、切絲；魚板切絲；豬肉絲加入醃料抓勻，醃漬5分鐘。3.熱鍋，倒入2大匙沙拉油，放入蒜末、蔥段、冬菇絲以及豬肉絲，以中火炒香，放入白菜絲、沙拉筍絲、金針菇炒勻，放入作法2海鮮料，倒入高湯煮至滾沸。4.續入所有調味料A煮勻，倒入以太白粉水勾芡，再加入適量調味料B提味即可。",
秋刀魚、白芝麻、檸檬,"烤秋刀魚
 食材：秋刀魚，白芝麻，檸檬
 調味料：米酒，鹽，胡椒粉，檸檬汁，大蒜
 作法：1.將秋刀魚洗淨，大蒜先用刀拍過，與其他醃料一起醃秋刀魚10分鐘備用。2.烤箱預熱至220℃，烤盤上鋪錫箔紙並塗抹少許沙拉油，秋刀魚上撒上芝麻，放入烤箱烤約12分鐘，待顏色變黃即可。吃時擠入檸檬汁味道更佳。",
鱸魚片、巴西里末、馬鈴薯塊、紅蘿蔔塊、檸檬塊、麵粉、奶油,"香煎鱸魚片
 食材：鱸魚片，巴西里末，馬鈴薯塊，紅蘿蔔塊，檸檬塊，麵粉，奶油
 調味料：鹽，胡椒
 作法：1.在鱸魚片上均勻撒上鹽和胡椒，再沾乾麵粉放置約1分鐘備用。2.將馬鈴薯塊、紅蘿蔔塊放入滾水中以大火煮約8分鐘，撈出；檸檬擠汁備用。3.平底鍋燒熱，放入奶油燒至融化，排入作法1的鱸魚片，以中火煎至2面呈金黃色且熟透，取出放入盤中。4.將作法2的馬鈴薯塊、紅蘿蔔塊放入作法3的鍋中，以中火煎至上色，取出放入作法3的盤中，再加入巴西里末和作法1的檸檬汁略炒至至香味出來，起鍋即可淋在鱸魚片上即可。",
魚,"不用蒸籠的蒸魚
食材：魚
調味料：米酒、蔥、薑、水、糖、醬油、蠔油
作法：1.準備殺好的魚，而魚身的中後半部最難熟，所以在魚的背部用刀沿背鰭劃開到骨頭部位，兩三片薑片與蔥，加入滾水中，再加兩大匙米酒，等水開之後把魚劃開口朝下下鍋，水量約淹過魚即可,再把火開到最小有微微冒泡即可蓋上鍋蓋，溫度約９５～９８度之間，煮約十分鐘，之後用筷子在魚最厚的背部插一下應能順利插到骨頭，這樣就熟了即可撈起2.這裡來教大家去除腥味的方法，用刀切一些薑絲與蔥絲，因蔥絲比較難切可用切蔥絲器來輔助使用，之後把薑絲與蔥絲泡一下水，再撈起放置魚身上。3.準備一些熱油，溫度約１８０～２００度，把油淋到魚上這樣就可以蓋過魚的腥味，再來在鍋子加入四大匙水、兩大匙醬油、一大匙蠔油、一茶匙糖，一起煮滾後淋到魚身上，這樣就可以做出不用蒸籠的蒸魚。",
鯛魚、薑絲、青蔥末,"薑絲魚片湯
 食材：鯛魚，薑絲，青蔥末
 調味料：雞粉，白胡椒粉，鹽，米酒，香油，水
 作法：1.取可微波的大碗，放入所有的調味料混合拌勻。2.將鯛魚洗淨切片，用餐巾紙吸乾水份，放入作法1的大碗中，加入薑絲和青蔥末，再放入微波爐中，將微波時間設定為5分鐘即可。",
喜相逢、蔥段、薑片、麵粉、蛋液、麵包粉,"酥炸喜相逢
 食材：喜相逢，蔥段，薑片，麵粉，蛋液，麵包粉
 調味料：醬油，鹽，糖，米酒，胡椒粉
 作法：1.喜相逢與蔥段、薑片及所有調味料攪拌均勻，醃製15分鐘。2.將作法1醃好的喜相逢一隻隻依序沾上麵粉、蛋液與麵包粉。3.取鍋燒熱後倒入適量油，將作法2沾上蛋液麵粉的喜相逢一隻隻放入，炸2-3分鐘至熟後撈出。4.將作法3的原鍋開大火，讓油溫度升高後，將作法3炸熟的喜相逢放入油鍋立即炸一下撈起即可。",
鯛魚、地瓜粉,"椒鹽魚片
 食材：鯛魚，地瓜粉
 調味料：鹽，白胡椒粉
 作法：1.鯛魚洗淨切片，均勻沾裹一層地瓜粉，放入熱油鍋中以中小火炸至呈金黃色，撈出瀝乾油分，排入盤中備用。2.將所有調味料放入小碟中混合均勻，撒在作法1上或直接沾食即可。",
吳郭魚、薑、辣椒、蔥,"醬汁吳郭魚
 食材：吳郭魚，薑，辣椒，蔥
 調味料：醬油，糖，鹽，酒，水
 作法：1.薑洗淨切菱形片；辣椒去籽洗淨，切菱形片；蔥洗淨切斜段備用。2.清除吳郭魚的魚鱗、魚鰓、內臟後，在背部劃上幾道直刀，洗淨備用。3.炒鍋先潤鍋，再放入4大匙沙拉油燒至油溫120℃，再放入吳郭魚煎炸至兩面呈金黃色備用。4.加入作法1的辛香料，以中火油溫140℃爆香，續加入所有調味料，再放入作法3的吳郭魚，轉小火燜煮至湯汁略乾即可。",
醃漬樹子、吳郭魚、蒜頭、薑、辣椒、蔥,"樹子蒸魚
 食材：醃漬樹子，吳郭魚，蒜頭，薑，辣椒，蔥
 調味料：醬油，鹽，糖，酒，香油，水
 作法：1.蒜頭剝膜，洗淨切丁；薑洗淨切丁狀；辣椒去籽，洗淨切丁；蔥洗淨切粗粒備用。2.清除魚的內臟、魚鰓、魚鱗，修飾背鰭、腹鰭，尾巴修齊，過水汆燙再洗淨，背部劃上幾道直刀後擺盤備用。3.炒鍋放入1大匙沙拉油，，以中火油溫140℃燒熱後加入作法1的辛香料，再加入所有調味料及醃漬樹子一起煮滾。4.將作法3的材料淋在作法2的魚上，覆蓋保鮮膜，放入蒸籠以大火蒸15分鐘蒸熟即可。",
水餃皮、鮪魚、小黃瓜、蒜末、洋蔥末,"鮪魚水餃
 食材：水餃皮，鮪魚，小黃瓜，蒜末，洋蔥末
 調味料：鹽，糖，胡椒粉，太白粉，香油
 作法：1.小黃瓜洗淨後切去頭尾再刨絲，放入碗中加入份量外的1小匙鹽一起抓勻醃約15分鐘，再用力抓小黃瓜絲讓其瀝乾水分備用。2.取一大容器放入作法1的小黃瓜絲和其餘材料及調味料一起攪拌均勻成鮪魚內餡。3.取一片水餃皮，於中間部分放上適量作法2的鮪魚內餡，將上下兩邊皮對折粘起，再於接口處依序折上花紋讓其更加粘緊，重複此動至材料用畢。4.熱一鍋水煮至滾沸後先滴入少許份量外的香油，再放入作法3包好的鮪魚水餃，煮約5－6分鐘至水重新滾沸。5.於作法4鍋內加入一量杯水，待水滾沸後將鮪魚水餃撈出即可。",
虱目魚,"虱目魚丸
 食材：虱目魚
 調味料：鹽，胡椒粉，太白粉，糖
 作法：1.將處理好的虱目魚肉切成數個小塊，以利果汁機攪打的塊狀即可。2.將魚塊放入果汁機中攪打成泥狀後取出。3.將所有的調味料放入作法2中一起攪拌均勻即為虱目魚漿。4.將虱目魚漿放在容器內，以手拿起魚漿不斷的用力摔打數次，直到魚漿的筋性出現，摸起來較結實。5.取一中華鍋，在鍋中放入約7分滿的水，以中火將水煮開。6.將作法4的魚漿用手的虎口處捏出數個圓球狀後，放入正好滾的鍋中煮熟即可。",
土魠魚、薑末、青蔥末、紅蘿蔔碎、金針菇,"咖哩蒸土魠魚
 食材：土魠魚，薑末，青蔥末，紅蘿蔔碎，金針菇
 調味料：咖哩粉，香油，奶油，鮮奶，鹽，白胡椒
 作法：1.將土魠魚洗淨，再使用餐巾紙吸乾，放入盤中。2.取容器，將所有的調味料、薑末、青蔥末和紅蘿蔔碎一起輕輕攪拌均勻，鋪蓋在作法1的土魠魚上。3.蓋上保鮮膜，放入電鍋中，外鍋加入一杯水蒸至開關跳起。",
